id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1338430545919946754	1338216166322565123	2020-12-14 11:28:03 Central European Standard Time	2020-12-14	11:28:03	+0100	87162851	wanda_b_	Wanda #ACAB ⚡🇵🇱 🌈🦊🌹🚲🍀☂️		@hmzagulska Ja miałam aborcję w czasach, gdy kobiety miały prawa reprodukcyjne. Nikt mnie nie potępiał, nie zadawał niepotrzebnych pytań, uznano, ze mogę sama decydować o swoim ciele. Chcę, by tak było znowu. #aborcjajestOK #AborcjaBezGranic	pl	[]	[]	[]	1	2	25	['aborcjajestok', 'aborcjabezgranic']	[]	https://twitter.com/wanda_b_/status/1338430545919946754	False		0								[{'screen_name': 'hmzagulska', 'name': 'Hanna M. Zagulska', 'id': '282548618'}]				
1338144025195520003	1338144025195520003	2020-12-13 16:29:31 Central European Standard Time	2020-12-13	16:29:31	+0100	463964049	babkaszablinski	Tadeusz Babka #BabiesLivesMatter		#ABORCJABEZGRANIC Czy to nie wystarcza aby głosicieli takich haseł, traktować ulubionym przez nich zwrotem #WYPIERDALAJ  Rozumiemy wszyscy, że w tym szaleństwie jest metoda, ale i na szaleńców znajdzie się sposób. NIE ZNISZCZYCIE POLSKI!!!	pl	[]	[]	[]	0	0	0	['aborcjabezgranic', 'wypierdalaj']	[]	https://twitter.com/BabkaSzablinski/status/1338144025195520003	False		0								[]				
1338128088111181824	1338128088111181824	2020-12-13 15:26:12 Central European Standard Time	2020-12-13	15:26:12	+0100	1247254962888941570	eobywatele	EOBYWATELE		ale w jakiej sprawie? #WychodzęBo #StanWojenny #StrajkKobiet #13grudnia #Kaczyński #piekłokobiet #wypierdalać #żyjęwpolsce #WyrokNaKobiety #AborcjaBezGranic #Sejm #PolskiSenat #Polska #Watykan #Poland #Papiez #MatkaBoża #Ewangelia #art #tvpinfo #zakazaborcji #Warsaw #wolność #art	pl	[]	[]	[]	0	0	0	['wychodzębo', 'stanwojenny', 'strajkkobiet', '13grudnia', 'kaczyński', 'piekłokobiet', 'wypierdalać', 'żyjęwpolsce', 'wyroknakobiety', 'aborcjabezgranic', 'sejm', 'polskisenat', 'polska', 'watykan', 'poland', 'papiez', 'matkaboża', 'ewangelia', 'art', 'tvpinfo', 'zakazaborcji', 'warsaw', 'wolność', 'art']	[]	https://twitter.com/eobywatele/status/1338128088111181824	False	https://twitter.com/klaudia_past/status/1338056581947273216	0								[]				
1338063363805499392	1338056581947273216	2020-12-13 11:09:00 Central European Standard Time	2020-12-13	11:09:00	+0100	1247254962888941570	eobywatele	EOBYWATELE		@klaudia_past ale w jakiej sprawie? #WychodzęBo #StanWojenny #StrajkKobiet #13grudnia #Kaczyński #piekłokobiet #wypierdalać #żyjęwpolsce #WyrokNaKobiety #AborcjaBezGranic #Sejm #PolskiSenat #Polska #Watykan #Poland #Papiez #MatkaBoża #Ewangelia #art #tvpinfo #zakazaborcji #Warsaw #wolność #art	pl	[]	[]	[]	0	0	1	['wychodzębo', 'stanwojenny', 'strajkkobiet', '13grudnia', 'kaczyński', 'piekłokobiet', 'wypierdalać', 'żyjęwpolsce', 'wyroknakobiety', 'aborcjabezgranic', 'sejm', 'polskisenat', 'polska', 'watykan', 'poland', 'papiez', 'matkaboża', 'ewangelia', 'art', 'tvpinfo', 'zakazaborcji', 'warsaw', 'wolność', 'art']	[]	https://twitter.com/eobywatele/status/1338063363805499392	False		0								[{'screen_name': 'klaudia_past', 'name': 'Klaudia PASTERNAK 🌈 🇪🇺⚡✌️', 'id': '2674710805'}]				
1337792895320027136	1337792895320027136	2020-12-12 17:14:15 Central European Standard Time	2020-12-12	17:14:15	+0100	2530381891	161_crew	161 Crew		Stolica wie co jest grane * #161crew #piekłokobiet #AborcjaJestOk #AborcjaBezGranic #AborcjaPrawemCzłowieka #antifa #CzarnyProtest #proabortion #Solidarity #StrajKobiet #wypierdalać #graffiti #StreetArt  https://t.co/nP8AIIDcyd	pl	[]	[]	[]	3	12	33	['161crew', 'piekłokobiet', 'aborcjajestok', 'aborcjabezgranic', 'aborcjaprawemczłowieka', 'antifa', 'czarnyprotest', 'proabortion', 'solidarity', 'strajkobiet', 'wypierdalać', 'graffiti', 'streetart']	[]	https://twitter.com/161_crew/status/1337792895320027136	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1337792048108351488/pu/img/zRxO0sxDElr0nLnE.jpg							[]				
1337453924429815815	1337453922475274250	2020-12-11 18:47:18 Central European Standard Time	2020-12-11	18:47:18	+0100	1310588506289459201	ciociabasia1	Ciociabasia		Życzymy sobie i Wam bezpiecznych, legalnych i darmowych aborcji! A póki nie nastaną, dobrych podróży aborcyjnych i zabiegów domowych. 💪 SOLIDARNOŚĆ I PRAKTYCZNY ABORCYJNY AKTYWIZM FOREVA!  #aborcjabezgranic #abortionwithoutborders #solidarity #prochoice #aborcyjnasamoobsługa	pl	[]	[]	[]	0	0	3	['aborcjabezgranic', 'abortionwithoutborders', 'solidarity', 'prochoice', 'aborcyjnasamoobsługa']	[]	https://twitter.com/Ciociabasia1/status/1337453924429815815	False		0								[]				
1337453922475274250	1337453922475274250	2020-12-11 18:47:18 Central European Standard Time	2020-12-11	18:47:18	+0100	1310588506289459201	ciociabasia1	Ciociabasia		Dziś pierwsze urodziny Aborcji bez Granic! 🎉🎉🎉  Dziękujemy @KwSmaszwybor @aborcjaadt @AbortionNetAms i @WomenHelpOrg za ten wspaniały i szalony rok! &lt;3  #aborcjabezgranic #abortionwithoutborders #solidarity #prochoice #aborcyjnasamoobsługa #aborcjajestok	pl	[{'screen_name': 'kwsmaszwybor', 'name': 'kobiety w sieci', 'id': '1934094398'}, {'screen_name': 'aborcjaadt', 'name': 'aborcjaadt', 'id': '1040544091761729537'}, {'screen_name': 'abortionnetams', 'name': 'abortion network amsterdam', 'id': '1262471503326728195'}, {'screen_name': 'womenhelporg', 'name': 'you can have an abortion safely at home 💊', 'id': '2754340124'}]	[]	[]	1	0	5	['aborcjabezgranic', 'abortionwithoutborders', 'solidarity', 'prochoice', 'aborcyjnasamoobsługa', 'aborcjajestok']	[]	https://twitter.com/Ciociabasia1/status/1337453922475274250	False		0								[]				
1337021809984737282	1337021359533199361	2020-12-10 14:10:14 Central European Standard Time	2020-12-10	14:10:14	+0100	996705895	surpanna	Anna		Na początku działalności #AborcjaBezGranic było to 300 telefonów MIESIĘCZNIE.  https://t.co/mBKLwZCthB	pl	[]	[]	['https://pbs.twimg.com/media/Eo4OP_tWMAAR04t.png']	1	0	0	['aborcjabezgranic']	[]	https://twitter.com/surpanna/status/1337021809984737282	False		1	https://pbs.twimg.com/media/Eo4OP_tWMAAR04t.png							[]				
1337015767418724352	1337015767418724352	2020-12-10 13:46:14 Central European Standard Time	2020-12-10	13:46:14	+0100	1231005770336079873	socjalistyczna	Akcja Socjalistyczna		#AborcjaBezGranic jest z nami od roku! Dziękujemy! Jeśli jeszcze nie znacie, poznajcie🖤: @Ciociabasia1, @aborcjaadt, @AbortionSupport, @WomenHelpOrg , @AbortionNetAms, @KwSmaszwybor #AbortionWithoutBorders #prochoice #aborcjajestok #samoobsługaaborcyjna #solidarity #Feminism #ff	pl	[{'screen_name': 'ciociabasia1', 'name': 'ciociabasia', 'id': '1310588506289459201'}, {'screen_name': 'aborcjaadt', 'name': 'aborcjaadt', 'id': '1040544091761729537'}, {'screen_name': 'abortionsupport', 'name': 'abortion support network', 'id': '50308435'}, {'screen_name': 'womenhelporg', 'name': 'you can have an abortion safely at home 💊', 'id': '2754340124'}, {'screen_name': 'abortionnetams', 'name': 'abortion network amsterdam', 'id': '1262471503326728195'}, {'screen_name': 'kwsmaszwybor', 'name': 'kobiety w sieci', 'id': '1934094398'}]	[]	[]	0	2	14	['aborcjabezgranic', 'abortionwithoutborders', 'prochoice', 'aborcjajestok', 'samoobsługaaborcyjna', 'solidarity', 'feminism', 'ff']	[]	https://twitter.com/socjalistyczna/status/1337015767418724352	False		0								[]				
1336339861255593992	1335916863969239040	2020-12-08 17:00:25 Central European Standard Time	2020-12-08	17:00:25	+0100	1269246886659141635	wojtek2075	Wojciech		@Naboolicious @tvp_info @AM_Zukowska Każdy argument za aborcją to płód bez mózgu albo bez głowy..  przecież wszyscy wiedzą, że tak naprawdę toczona jest walka o #aborcjabezgranic i #aborcjanazyczenie	pl	[]	[]	[]	1	0	0	['aborcjabezgranic', 'aborcjanazyczenie']	[]	https://twitter.com/Wojtek2075/status/1336339861255593992	False		0								[{'screen_name': 'Naboolicious', 'name': 'WildCherry', 'id': '1218641089034407937'}, {'screen_name': 'tvp_info', 'name': 'tvp.info 🇵🇱', 'id': '47295451'}, {'screen_name': 'AM_Zukowska', 'name': 'Anna-Maria Żukowska 💁🏻\u200d♀️ #Lewica ↙️↙️↙️🏳️\u200d🌈☮️', 'id': '941899796'}]				
