id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1335278056668327939	1335278056668327939	2020-12-05 18:41:11 Central European Standard Time	2020-12-05	18:41:11	+0100	840321054371434500	marcin94954618	M a r t i ñ o ☕🥑🇵🇱🇪🇺		@AndrzejDuda, jak Pan uważa, czy uczestnicy imprezy gejowskiej w Brukseli to byli ludzie czy #ideologiaLGBT ?	pl	[]	[]	[]	0	0	0	['ideologialgbt']	[]	https://twitter.com/Marcin94954618/status/1335278056668327939	False		0								[]				
1335242809239080963	1335242809239080963	2020-12-05 16:21:07 Central European Standard Time	2020-12-05	16:21:07	+0100	980848689806704641	mafinaco	Adaś		ideologia #LGBT  już nam kanapki zaraża! Jeszcze trochę a nie będzie można w spokoju wyjść z mieszkania bo na każdym rogu tylko tęcza będzie. Takich ludzi trzeba tłumić głosując tylko na słusznych ludzi. 😡😡😡😠🤬🤬  #IdeologiaLGBT #PiS  https://t.co/qPspslzutg	pl	[]	[]	['https://pbs.twimg.com/media/Eoe8QiBW8AIdQ5J.jpg']	1	3	15	['lgbt', 'ideologialgbt', 'pis']	[]	https://twitter.com/Mafinaco/status/1335242809239080963	False		1	https://pbs.twimg.com/media/Eoe8QiBW8AIdQ5J.jpg							[]				
1334472995121848320	1334472995121848320	2020-12-03 13:22:10 Central European Standard Time	2020-12-03	13:22:10	+0100	3057616522	jan_czapski	Jan Czapski		Mój #komputer jest #binarny: zero-jedynkowy.  Szybki jak cholera! A jaka pamięć! Dwa TERA!!! 👍😂 #głupkiLGBT  #ideologiaLGBT  #zboczenia  #chorzyludzie	pl	[]	[]	[]	0	0	2	['komputer', 'binarny', 'głupkilgbt', 'ideologialgbt', 'zboczenia', 'chorzyludzie']	[]	https://twitter.com/jan_czapski/status/1334472995121848320	False	https://twitter.com/icecrexmcvke/status/1334412031924068352	0								[]				
1334408134027341827	1334408134027341827	2020-12-03 09:04:25 Central European Standard Time	2020-12-03	09:04:25	+0100	3057616522	jan_czapski	Jan Czapski		"Mam apel do wszystkich normalnych ludzi: kiedy zobaczycie, że Janek Czapski pisze ""Mam na imię Marysia, jestem z tego dumny, czuję się świetnie i uprzywilejowany..."" - wezwijcie natychmiast karetkę z dobrym psychiatrą, żeby mi pomógł! 👍🤣  #zboczenia #ideologiaLGBT #chorzyludzie"	pl	[]	[]	[]	1	0	2	['zboczenia', 'ideologialgbt', 'chorzyludzie']	[]	https://twitter.com/jan_czapski/status/1334408134027341827	False	https://twitter.com/jestemlgbt/status/1334078845494943744	0								[]				
1334372146412445696	1334372146412445696	2020-12-03 06:41:25 Central European Standard Time	2020-12-03	06:41:25	+0100	2802159563	beekeeper_pl	Jim Bee		Szykuje się erekcja zniesmaczenia wśród „świętej” opozycji.  Bo PiS to wiadomo - ma od zawsze polityków szukających uciech na boku...  Który to już raz próbuje się skompromitować polityków obozu władzy w podobny sposób?  Ta prowokacja tylko potwierdza idiotyzm #ideologiaLGBT  https://t.co/CRt1i6O3ht	pl	[]	[]	['https://pbs.twimg.com/media/EoSkVmiWEAAKofO.jpg', 'https://pbs.twimg.com/media/EoSkVmsWEAMv8GS.jpg', 'https://pbs.twimg.com/media/EoSkVmoXIAA8v_x.jpg']	0	0	2	['ideologialgbt']	[]	https://twitter.com/Beekeeper_PL/status/1334372146412445696	False		1	https://pbs.twimg.com/media/EoSkVmiWEAAKofO.jpg							[]				
1333368046015156225	1333368046015156225	2020-11-30 12:11:29 Central European Standard Time	2020-11-30	12:11:29	+0100	1192340189626191872	wozpiotr	Piotr Woźniak		#seksualizacja dzieci. Jeszcze niedawno modne określenie promowania #ideologiaLGBT w warszawskich szkołach przez stołeczny ratusz. Ale czy na większa skale nie robi tego @KurskiPL i @tvp? Dziecko na zdjęciu ma 13 lat, nie 16,17,18. 13 !!! I to jest seksualizacja. Dosłowna.  https://t.co/V9cDVMycez	pl	[{'screen_name': 'kurskipl', 'name': 'jacek kurski pl', 'id': '1262422213'}, {'screen_name': 'tvp', 'name': 'bądźmy razem tvp', 'id': '3378468209'}]	[]	['https://pbs.twimg.com/media/EoETKm2WMAEzs4a.jpg']	4	13	59	['seksualizacja', 'ideologialgbt']	[]	https://twitter.com/wozpiotr/status/1333368046015156225	False		1	https://pbs.twimg.com/media/EoETKm2WMAEzs4a.jpg							[]				
1333114272965136384	1333032089608982530	2020-11-29 19:23:05 Central European Standard Time	2020-11-29	19:23:05	+0100	3057616522	jan_czapski	Jan Czapski		@seba2371 @JanekUwU Jak to co? #ideologiaLGBT!!!  🤬	pl	[]	[]	[]	4	0	1	['ideologialgbt']	[]	https://twitter.com/jan_czapski/status/1333114272965136384	False		0								[{'screen_name': 'seba2371', 'name': 'Sebastian💯🇵🇱', 'id': '3315585623'}, {'screen_name': 'JanekUwU', 'name': 'Jan Bottox', 'id': '1156236875868364800'}]				
1331332246712819713	1331332246712819713	2020-11-24 21:21:57 Central European Standard Time	2020-11-24	21:21:57	+0100	1198245080294993922	adzysk	Artur D. Zysk		To chyba jakaś paranoja! Bartoszewski czuje się zażenowany romową o dawaniu d... ale jednocześnie wspiera jako członek @nowePSL i inne zwichnięte ugrupowania żądania terrorystów #IdeologiaLGBT  #Minęła20	pl	[{'screen_name': 'nowepsl', 'name': '🍀 psl', 'id': '2426963910'}]	[]	[]	2	0	4	['ideologialgbt', 'minęła20']	[]	https://twitter.com/adzysk/status/1331332246712819713	False		0								[]				
1330589738491932673	1330589738491932673	2020-11-22 20:11:29 Central European Standard Time	2020-11-22	20:11:29	+0100	1080197507685236737	krystianjachacy	Krystian Jachacy		#Polexit jest jedną z niewielu możliwości żeby poprawić byt pracownika w 🇵🇱. Nie ma 🇪🇺, to znaczy, że:  ⛔️ Koniec brukselskich ograniczeń wspierania rodzimego przemysłu 🏳️‍🌈 Narzucania #ideologiaLGBT i dyktatu imigranckiego 👷🏻‍♂️ Otwiera się możliwość protekcjonistycznej polityki	pl	[]	[]	[]	3	6	32	['polexit', 'ideologialgbt']	[]	https://twitter.com/KrystianJachacy/status/1330589738491932673	False		0								[]				
1329880270187753472	1329880270187753472	2020-11-20 21:12:19 Central European Standard Time	2020-11-20	21:12:19	+0100	1127621927642783744	aleksan87233870	Aleksander 🇵🇱 #BabiesLivesMatter		Margot oskarża Klementyne Suchanow molestowanie🤣  #strajkkobiet #bekazlewactwa  #LGBT #ideologiaLGBT #LPG #afera   https://t.co/A656C1ti5j	pl	[]	['https://www.tvp.info/49394846/michal-sz-pseudonim-margot-oskarza-klementyne-suchanow-o-molestowanie-wylicza-przyklady-wieszwiecej']	[]	1	0	1	['strajkkobiet', 'bekazlewactwa', 'lgbt', 'ideologialgbt', 'lpg', 'afera']	[]	https://twitter.com/Aleksan87233870/status/1329880270187753472	False		0								[]				
