id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1337144805726572546	1337144805726572546	2020-12-10 22:18:59 Central European Standard Time	2020-12-10	22:18:59	+0100	957325228467740672	mr_majewsk1	Michał Majewski 🇵🇱		@pisorgpl Proponuję się zapoznać, wiem że część wie o tym fakcie ale też sporo osób nie. Nawet nie widzimy, jak nas Europa na każdym kroku rżnie na kasie @R_A_Ziemkiewicz krótko i na temat  https://t.co/zfYZV0V5Kx przez @YouTube #Polska #Warszawa #UniaEuropejska #lgbttoideologia	pl	[{'screen_name': 'r_a_ziemkiewicz', 'name': 'rafał a. ziemkiewicz', 'id': '1388943902'}, {'screen_name': 'youtube', 'name': 'youtube', 'id': '10228272'}]	['https://youtu.be/hw_EAbJksbY']	[]	0	0	0	['polska', 'warszawa', 'uniaeuropejska', 'lgbttoideologia']	[]	https://twitter.com/Mr_Majewsk1/status/1337144805726572546	False		0								[]				
1334678028916559872	1334678028916559872	2020-12-04 02:56:53 Central European Standard Time	2020-12-04	02:56:53	+0100	957325228467740672	mr_majewsk1	Michał Majewski 🇵🇱		Czysta prawda ... ZIEMKIEWICZ SHOW!   https://t.co/Nuam4eTmMH przez @YouTube #Polska #PiS #lgbttoideologia @pisorgpl @PremierRP	pl	[{'screen_name': 'youtube', 'name': 'youtube', 'id': '10228272'}, {'screen_name': 'pisorgpl', 'name': 'prawo i sprawiedliwość', 'id': '15877628'}, {'screen_name': 'premierrp', 'name': 'kancelaria premiera', 'id': '57626153'}]	['https://youtu.be/jKPWlseOwTk']	[]	0	0	0	['polska', 'pis', 'lgbttoideologia']	[]	https://twitter.com/Mr_Majewsk1/status/1334678028916559872	False		0								[]				
1331532823837208581	1331532823837208581	2020-11-25 10:38:58 Central European Standard Time	2020-11-25	10:38:58	+0100	957325228467740672	mr_majewsk1	Michał Majewski 🇵🇱		Stare ale nic dodać nic ująć. #Polska #lgbttoideologia	pl	[]	[]	[]	0	0	1	['polska', 'lgbttoideologia']	[]	https://twitter.com/Mr_Majewsk1/status/1331532823837208581	False	https://twitter.com/gorg_ios/status/1331344543954964482	0								[]				
1329450184636575747	1329030221673230338	2020-11-19 16:43:18 Central European Standard Time	2020-11-19	16:43:18	+0100	4899322053	maguszka	MaGuszka		@AgaBak @po_lewej @__Lewica @FalejMonika @AM_Zukowska @Pawlowska_pl @MagdaBiejat @AnitaKDZG @moanrosa Wy jesteście serio niemormalni..kazdy jak jeden Zebyscie na uszach stanęli, to prawdy nie zaklamiecie #LgbtToideologia którą wspierają antyludzcy ludzie	pl	[]	[]	[]	4	0	0	['lgbttoideologia']	[]	https://twitter.com/MaGuszka/status/1329450184636575747	False		0								[{'screen_name': 'AgaBak', 'name': 'A. Dziemianowicz-Bąk', 'id': '47887653'}, {'screen_name': 'po_lewej', 'name': 'Sylwek', 'id': '1267204844533755904'}, {'screen_name': '__Lewica', 'name': 'Lewica', 'id': '66324459'}, {'screen_name': 'FalejMonika', 'name': 'Monika Falej', 'id': '2860103476'}, {'screen_name': 'AM_Zukowska', 'name': 'Anna-Maria Żukowska 💁🏻\u200d♀️ #Lewica ↙️↙️↙️🏳️\u200d🌈☮️', 'id': '941899796'}, {'screen_name': 'Pawlowska_pl', 'name': 'Monika Pawłowska', 'id': '3077418646'}, {'screen_name': 'MagdaBiejat', 'name': 'Magda Biejat', 'id': '76041641'}, {'screen_name': 'AnitaKDZG', 'name': 'Anita Kucharska-Dziedzic - posłanka na Sejm RP 💪⚡', 'id': '950711970780639232'}, {'screen_name': 'moanrosa', 'name': 'Monika Rosa', 'id': '2775254939'}]				
1327285634067783680	1327285634067783680	2020-11-13 17:22:09 Central European Standard Time	2020-11-13	17:22:09	+0100	3633182657	mnapastnik	Mariusz Napastnik		Ja bym wyszedł #UE #RuleOfLaw #lgbttoideologia @pisorgpl @MorawieckiM	pl	[{'screen_name': 'pisorgpl', 'name': 'prawo i sprawiedliwość', 'id': '15877628'}, {'screen_name': 'morawieckim', 'name': 'mateusz morawiecki', 'id': '939053934232195072'}]	[]	[]	0	1	2	['ue', 'ruleoflaw', 'lgbttoideologia']	[]	https://twitter.com/MNapastnik/status/1327285634067783680	False	https://twitter.com/Ostrowek/status/1327269777291808773	0								[]				
1327281503303249921	1327281503303249921	2020-11-13 17:05:44 Central European Standard Time	2020-11-13	17:05:44	+0100	732498590665310212	andrzejolkiewi	Andrzej Olkiewicz		Papież wspiera atakowany Kościół w Polsce: W gender przejawia się zło, to ideologia zła🏳️‍🌈 #LGBT #Papież #LGBTtoLudzie #LGBTtoideologia #Franciszek  #StrefaWolnaOdLGBT #wieszwiecej #Dziwisz #DonStanislao #StopAgresjiLGBT #JPII #TeczaNieObraza #SilniRazem  https://t.co/ulHlJDgbwF	pl	[]	['https://wiadomosci.wp.pl/papiez-franciszek-o-gender-tam-przejawia-sie-zlo-6476373519427201a']	[]	4	16	31	['lgbt', 'papież', 'lgbttoludzie', 'lgbttoideologia', 'franciszek', 'strefawolnaodlgbt', 'wieszwiecej', 'dziwisz', 'donstanislao', 'stopagresjilgbt', 'jpii', 'teczanieobraza', 'silnirazem']	[]	https://twitter.com/AndrzejOlkiewi/status/1327281503303249921	False		0								[]				
1326293223371902981	1326293223371902981	2020-11-10 23:38:40 Central European Standard Time	2020-11-10	23:38:40	+0100	957325228467740672	mr_majewsk1	Michał Majewski 🇵🇱		Nie ma co komentować , trzeba nagłaśniać i walczyć z tym zboczeniem. #Polska #Warszawa #lgbttoideologia	pl	[]	[]	[]	0	0	0	['polska', 'warszawa', 'lgbttoideologia']	[]	https://twitter.com/Mr_Majewsk1/status/1326293223371902981	False	https://twitter.com/AndrzejOlkiewi/status/1326199022344933377	0								[]				
1325375776775081985	1325375776775081985	2020-11-08 10:53:04 Central European Standard Time	2020-11-08	10:53:04	+0100	957325228467740672	mr_majewsk1	Michał Majewski 🇵🇱		Przykład lewackiego zidiocenia lub/i zakłamywania rzeczywistości - opinia oderwana od rzeczywistości i zapowiedzi samego bidena jak i osób mu towarzyszących. #Polska #NATO #lgbttoideologia #WyboryUSA	pl	[]	[]	[]	0	0	0	['polska', 'nato', 'lgbttoideologia', 'wyboryusa']	[]	https://twitter.com/Mr_Majewsk1/status/1325375776775081985	False	https://twitter.com/Tomasz_Walczak/status/1325134545461501952	0								[]				
1324732614658478084	1324732614658478084	2020-11-06 16:17:22 Central European Standard Time	2020-11-06	16:17:22	+0100	957325228467740672	mr_majewsk1	Michał Majewski 🇵🇱		Pokłosie lewackiego wychowania i nauczania. Poziom nauczania w szkołach które kończyły to dno. System szkolnictwa musi się zmienić i uczyć,  to i takich głupot ludzie nie będą robić. #Polska #Warszawa #StrajkKobiet #NieStrajkuję #lgbttoideologia	pl	[]	[]	[]	0	0	0	['polska', 'warszawa', 'strajkkobiet', 'niestrajkuję', 'lgbttoideologia']	[]	https://twitter.com/Mr_Majewsk1/status/1324732614658478084	False	https://twitter.com/ZbigniewKozlow/status/1324700058886017024	0								[]				
1323813272332677124	1323813272332677124	2020-11-04 03:24:14 Central European Standard Time	2020-11-04	03:24:14	+0100	957325228467740672	mr_majewsk1	Michał Majewski 🇵🇱		Rzeczywistość :) . @JaokJanusz jak zwykle dobrze przygotowany.  Strajk Kobiet na ŻoliBoli  https://t.co/DarBac5KQI przez @YouTube #Polska #Warszawa #StrajKobiet #NIESTRAJKUJE #lgbttoideologia	pl	"[{'screen_name': 'jaokjanusz', 'name': 'mikołaj ""jaok"" janusz', 'id': '4010444482'}, {'screen_name': 'youtube', 'name': 'youtube', 'id': '10228272'}]"	['https://youtu.be/G9l8fX643Ys']	[]	0	0	0	['polska', 'warszawa', 'strajkobiet', 'niestrajkuje', 'lgbttoideologia']	[]	https://twitter.com/Mr_Majewsk1/status/1323813272332677124	False		0								[]				
