id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1338428554607005698	1338428554607005698	2020-12-14 11:20:08 Central European Standard Time	2020-12-14	11:20:08	+0100	2357891156	enewsroom	eNewsroom		Jak powinna wyglądać praca biur i przedsiębiorstw w erze post-covidowej. Czy na dobre przeniesie się do przestrzeni cyfrowej, a #pracownicy do domowych biur? Co sądzą eksperci po 9 miesiącach pandemii? #pracazdalna #homeoffice #epidemia @KozminskiUni   https://t.co/cGqKiB4xFt	pl	[{'screen_name': 'kozminskiuni', 'name': 'kozminski university', 'id': '59459649'}]	['https://youtu.be/xtt8ZJDlj5Y']	[]	0	1	2	['pracownicy', 'pracazdalna', 'homeoffice', 'epidemia']	[]	https://twitter.com/eNewsroom/status/1338428554607005698	False		0								[]				
1336973229332819976	1336973229332819976	2020-12-10 10:57:12 Central European Standard Time	2020-12-10	10:57:12	+0100	176325717	pracodawcyrp	Pracodawcy RP		Możemy mieć do czynienia z obniżeniem jakości miejsc pracy w Polsce – komentuje w @rzeczpospolita główny ekonomista #PracodawcyRP dr @DudSlaw:   https://t.co/s1tIBG9Z4A   #rynekpracy #pracodawcy #pracownicy #gospodarka  https://t.co/tk7tjboG3Y	pl	[{'screen_name': 'rzeczpospolita', 'name': 'rzeczpospolita', 'id': '194399035'}, {'screen_name': 'dudslaw', 'name': 'sławomir dudek', 'id': '361194723'}]	['https://bit.ly/39UdM2V']	['https://pbs.twimg.com/media/Eo3hrvKXUAEWYqR.jpg']	0	0	0	['pracodawcyrp', 'rynekpracy', 'pracodawcy', 'pracownicy', 'gospodarka']	[]	https://twitter.com/PracodawcyRP/status/1336973229332819976	False		1	https://pbs.twimg.com/media/Eo3hrvKXUAEWYqR.jpg							[]				
1336953322444558337	1336953322444558337	2020-12-10 09:38:06 Central European Standard Time	2020-12-10	09:38:06	+0100	3342600053	eksperci_wsb	Eksperci WSB		– #Pracownicy chętniej i szybciej chcą się uczyć nowych kompetencji. To jest związane z poczuciem, że w razie problemów muszą sobie poradzić na rynku pracy, a sytuacja może zmienić się z dnia na dzień. - Grzegorz Rippel, WSB Opole #rynekpracy #eksperciWSB  https://t.co/GmewEANqXZ	pl	[]	['https://kadry.infor.pl/wiadomosci/5147751,Rekrutacje-w-czasie-pandemii.html']	[]	0	0	3	['pracownicy', 'rynekpracy', 'eksperciwsb']	[]	https://twitter.com/Eksperci_WSB/status/1336953322444558337	False		0								[]				
1336653569429221377	1336653569429221377	2020-12-09 13:46:59 Central European Standard Time	2020-12-09	13:46:59	+0100	737229438774054912	aktywizacja	Fundacja Aktywizacja		2/2 O aktualnych wynikach #badania również na stronie  @pulshr_pl. Jak wynika z naszego badania #pracownicy z niepełnosprawnościami cenią obecną pracę za dobre relacje ze współpracownikami, przełożonymi oraz klientami. Więcej informacji:  https://t.co/iH0ak0RaOS	pl	[{'screen_name': 'pulshr_pl', 'name': 'pulshr.pl', 'id': '2381941627'}]	['https://www.pulshr.pl/zarzadzanie/niepelnosprawni-na-rynku-pracy-bardzo-cenia-dobre-relacje,78167.html']	[]	0	1	0	['badania', 'pracownicy']	[]	https://twitter.com/Aktywizacja/status/1336653569429221377	False		0								[]				
1336650584884211713	1336650584884211713	2020-12-09 13:35:07 Central European Standard Time	2020-12-09	13:35:07	+0100	176325717	pracodawcyrp	Pracodawcy RP		Dane z #rynekpracy trzeba interpretować całościowo – podkreśla w magazynie „Personel i Zarządzanie” główny ekonomista #PracodawcyRP dr @DudSlaw:   https://t.co/63T4MbBGJT  #gospodarka #praca #pracodawcy #pracownicy  https://t.co/TtMbQqAfgr	pl	[{'screen_name': 'dudslaw', 'name': 'sławomir dudek', 'id': '361194723'}]	['https://bit.ly/2K6RLTH']	['https://pbs.twimg.com/media/Eoy8RmrW8AA2ekq.jpg']	0	2	4	['rynekpracy', 'pracodawcyrp', 'gospodarka', 'praca', 'pracodawcy', 'pracownicy']	[]	https://twitter.com/PracodawcyRP/status/1336650584884211713	False		1	https://pbs.twimg.com/media/Eoy8RmrW8AA2ekq.jpg							[]				
1336591413044240385	1336591413044240385	2020-12-09 09:40:00 Central European Standard Time	2020-12-09	09:40:00	+0100	2242255747	interkadra1	InterKadra		Jaki #rynekPracy przyniesie #nowyRok? #Pracownicy handlu nie muszą się obawiać zwolnień   #handel #praca  https://t.co/IM28qvPSJb	pl	[]	['https://www.dlahandlu.pl/detal-hurt/wiadomosci/jaki-rynek-pracy-przyniesie-nowy-rok-pracownicy-handlu-nie-musza-sie-obawiac-zwolnien,93688.html']	[]	0	0	0	['rynekpracy', 'nowyrok', 'pracownicy', 'handel', 'praca']	[]	https://twitter.com/interkadra1/status/1336591413044240385	False		0								[]				
1336346057685479424	1336346057685479424	2020-12-08 17:25:02 Central European Standard Time	2020-12-08	17:25:02	+0100	984032682735620096	ipolska24	iPolska24.pl		70 proc pracodawcow nie planuje zmian w zatrudnienie  https://t.co/NdLCnOjgTx #pracownicy #pracodawca #zatrudnienie	pl	[]	['https://www.ipolska24.pl/artykul/2020-12-08/70-proc-pracodawcow-nie-planuje-zmian-w-zatrudnieniu']	[]	0	0	0	['pracownicy', 'pracodawca', 'zatrudnienie']	[]	https://twitter.com/ipolska24/status/1336346057685479424	False		0								[]				
1336309133369368576	1336309133369368576	2020-12-08 14:58:19 Central European Standard Time	2020-12-08	14:58:19	+0100	125649555	zielonalinia	Zielona Linia		Ploteczki online, kwiaty czy las w butelce. Tak w pandemii firmy dbają o pracowników.  https://t.co/yL42AvlNEk #pracodawca #pracownicy #firma #wyzwania #atmosfera #zespół #wsparcie  https://t.co/tbWjTfNySZ	pl	[]	['https://tiny.pl/7sz9f']	['https://pbs.twimg.com/media/EouF0ElXYAIcbcL.jpg']	0	0	0	['pracodawca', 'pracownicy', 'firma', 'wyzwania', 'atmosfera', 'zespół', 'wsparcie']	[]	https://twitter.com/zielonalinia/status/1336309133369368576	False		1	https://pbs.twimg.com/media/EouF0ElXYAIcbcL.jpg							[]				
1336252994397024257	1336252994397024257	2020-12-08 11:15:14 Central European Standard Time	2020-12-08	11:15:14	+0100	176325717	pracodawcyrp	Pracodawcy RP		Pandemia #koronawirus nie zmienia zasad ochrony przedemerytalnej – podkreśla w @gazeta_wyborcza ekspertka #PracodawcyRP ds. #prawopracy Katarzyna Siemienkiewicz:   https://t.co/P80RsKZmYw  #praca #emerytury #pracodawcy #pracownicy  https://t.co/OG2BZCImJS	pl	[{'screen_name': 'gazeta_wyborcza', 'name': 'gazeta wyborcza.pl', 'id': '19179390'}]	['https://bit.ly/3lW4g1F']	['https://pbs.twimg.com/media/EotSuvyWEAAEuv6.jpg']	0	1	1	['koronawirus', 'pracodawcyrp', 'prawopracy', 'praca', 'emerytury', 'pracodawcy', 'pracownicy']	[]	https://twitter.com/PracodawcyRP/status/1336252994397024257	False		1	https://pbs.twimg.com/media/EotSuvyWEAAEuv6.jpg							[]				
1334135319487188993	1334135319487188993	2020-12-02 15:00:21 Central European Standard Time	2020-12-02	15:00:21	+0100	125649555	zielonalinia	Zielona Linia		Wypadki przy pracy. Gdzie najbardziej niebezpiecznie?  https://t.co/xq3vXLA799 #praca #wypadki #pracownicy #poszkodowani  https://t.co/pM195Muviz	pl	[]	['https://tiny.pl/7s96l']	['https://pbs.twimg.com/media/EoPM_AkXcAMzNkT.jpg']	0	0	0	['praca', 'wypadki', 'pracownicy', 'poszkodowani']	[]	https://twitter.com/zielonalinia/status/1334135319487188993	False		1	https://pbs.twimg.com/media/EoPM_AkXcAMzNkT.jpg							[]				
