id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1332011717627351041	1332011717627351041	2020-11-26 18:21:55 Central European Standard Time	2020-11-26	18:21:55	+0100	949283462	marekzadecki	Marek Zadęcki		#Emerytury i #renty - ważne zmiany. To trzeba wiedzieć od 1 grudnia 2020 roku [zasady - 26.11.2020 r.] - Gazeta Pomorska #ZUS #Polska #waloryzacja #KoronawirusWPolsce  https://t.co/Q1BLVp8gpB przez @GoogleNews	pl	[{'screen_name': 'googlenews', 'name': 'google news', 'id': '33584794'}]	['https://pomorska.pl/emerytury-i-renty-wazne-zmiany-to-trzeba-wiedziec-od-1-grudnia-2020-roku-zasady-26112020-r/ar/c15-15307171']	[]	0	1	1	['emerytury', 'renty', 'zus', 'polska', 'waloryzacja', 'koronawiruswpolsce']	[]	https://twitter.com/MarekZadecki/status/1332011717627351041	False		0								[]				
1331634931483742210	1331634931483742210	2020-11-25 17:24:42 Central European Standard Time	2020-11-25	17:24:42	+0100	742035768621867009	nmozliwosci	N Możliwości		Od 1 gr. 2020 r. do 28 lut. 2021 r. emeryt i rencista może dorabiać do kwoty 3618,30 zł. To 70% przeciętnego miesięcznego wyn. Do końca XI 2020 emeryci i renciści mogli dorabiać bez żadnych konsekwencji do 3517,20 zł  https://t.co/KW0SFsFL0R #zus #emerytury #renty #niepełnosprawni	pl	[]	['https://kadry.infor.pl/kadry/ubezpieczenia/emerytury_i_renty/4733194,Ile-moze-dorobic-emeryt-grudzien-2020-r-luty-2021-r.html']	[]	0	0	1	['zus', 'emerytury', 'renty', 'niepełnosprawni']	[]	https://twitter.com/NMozliwosci/status/1331634931483742210	False		0								[]				
1329044626204921856	1329044626204921856	2020-11-18 13:51:45 Central European Standard Time	2020-11-18	13:51:45	+0100	1084825059120898048	werymeanwoman	K a S i A		Wiecie czemu @MorawieckiM Nie chce testów? Bo im więcej staruszków umrze tym mniej obiecanych 13 i 14 trzeba będzie wypłacić a pieniędzy brak‼ #Covid_19 #COVID19 #PMM #morawiecki #Poland #PiS #socjal #13emerytura #14emerytura #renty	pl	[{'screen_name': 'morawieckim', 'name': 'mateusz morawiecki', 'id': '939053934232195072'}]	[]	[]	3	2	19	['covid_19', 'covid19', 'pmm', 'morawiecki', 'poland', 'pis', 'socjal', '13emerytura', '14emerytura', 'renty']	[]	https://twitter.com/WeryMeanWoman/status/1329044626204921856	False		0								[]				
1326985860433186822	1326985860433186822	2020-11-12 21:30:57 Central European Standard Time	2020-11-12	21:30:57	+0100	949283462	marekzadecki	Marek Zadęcki		"Taka jest ""naga"" prawda na temat #ZUS. Pragnę przypomnieć, że #emerytury i #renty TO TYLKO świadczenie. #Polska  https://t.co/TxVucKdJS4"	pl	[]	[]	['https://pbs.twimg.com/media/EmpmTOZW4AQCKPx.png']	0	1	1	['zus', 'emerytury', 'renty', 'polska']	[]	https://twitter.com/MarekZadecki/status/1326985860433186822	False		1	https://pbs.twimg.com/media/EmpmTOZW4AQCKPx.png							[]				
1323547234961661952	1323547234961661952	2020-11-03 09:47:05 Central European Standard Time	2020-11-03	09:47:05	+0100	984032682735620096	ipolska24	iPolska24.pl		RZĄD PROPONUJE NOWE ZASADY WALORYZACJI RENT I EMERYTUR  https://t.co/rxf6qimjh6 #emerytury #renty #waloryzacja #zus @zus_pl #rząd @BOR_GOV_PL	pl	[{'screen_name': 'zus_pl', 'name': 'zus', 'id': '1165869418431340544'}, {'screen_name': 'bor_gov_pl', 'name': 'biuro ochrony rządu', 'id': '836869488796712966'}]	['https://www.ipolska24.pl/artykul/2020-11-02/rzad-proponuje-nowe-zasady-waloryzacji-rent-i-emerytur']	[]	0	0	0	['emerytury', 'renty', 'waloryzacja', 'zus', 'rząd']	[]	https://twitter.com/ipolska24/status/1323547234961661952	False		0								[]				
1317068912689905670	1317068912689905670	2020-10-16 13:44:33 Central European Summer Time	2020-10-16	13:44:33	+0100	1165869418431340544	zus_pl	ZUS		Działacze opozycji antykomunistycznej i represjonowani z powodów politycznych mogą otrzymać wyrównanie #emerytury lub #renty do 2⃣4⃣0⃣0⃣ zł.  📃 Potrzebny jest wniosek i decyzja @Kombatanci. Wnioski rozpatrujemy od wczoraj.   https://t.co/WlHdj0MiBG	pl	[{'screen_name': 'kombatanci', 'name': 'udskior', 'id': '701726371815563264'}]	['https://www.zus.pl/o-zus/aktualnosci/-/publisher/aktualnosc/1/wniosek-o-swiadczenie-wyrownawcze-dla-dzialacza-opozycji-antykomunistycznej-lub-osoby-represjonowanej-z-powodow-politycznych/3609245']	[]	0	0	0	['emerytury', 'renty']	[]	https://twitter.com/zus_pl/status/1317068912689905670	False		0								[]				
1315916660277215234	1315916660277215234	2020-10-13 09:25:55 Central European Summer Time	2020-10-13	09:25:55	+0100	1305934236973764609	fseniorow	Finanse dla Seniorów		Każdego roku #emerytury i #renty są podwyższane, aby #seniorzy nie odczuli zbyt mocno rosnących cen.  #Waloryzacja emerytur może być wyższa niż zakładano  Drodzy Seniorzy - co sądzicie o waloryzacji emerytur? Jest ona na wystarczającym poziomie?  #zus   https://t.co/Z6mjomyj12	pl	[]	['https://finansedlaseniorow.pl/waloryzacja-emerytur-w-przyszlym-roku-ile-bedzie-wynosic-podwyzka/']	[]	0	0	0	['emerytury', 'renty', 'seniorzy', 'waloryzacja', 'zus']	[]	https://twitter.com/FSeniorow/status/1315916660277215234	False		0								[]				
1307545067620634627	1307545067620634627	2020-09-20 07:00:11 Central European Summer Time	2020-09-20	07:00:11	+0100	949283462	marekzadecki	Marek Zadęcki		Gazeta Pomorska: Takie #emerytury i #renty mają #wojskowi w 2020 roku. Od szeregowego do generała [stawki - 20.09.2020]. #Polska #KoronawirusWPolsce   https://t.co/4Tpvxs7uak  w usłudze @GoogleNews	pl	[{'screen_name': 'googlenews', 'name': 'google news', 'id': '33584794'}]	['https://pomorska.pl/takie-emerytury-i-renty-maja-wojskowi-w-2020-roku-od-szeregowego-do-generala-stawki-20092020/ga/c3-14338419/zd/37811505']	[]	0	1	1	['emerytury', 'renty', 'wojskowi', 'polska', 'koronawiruswpolsce']	[]	https://twitter.com/MarekZadecki/status/1307545067620634627	False		0								[]				
1306527898824736776	1306527898824736776	2020-09-17 11:38:19 Central European Summer Time	2020-09-17	11:38:19	+0100	949283462	marekzadecki	Marek Zadęcki		Gazeta Pomorska: Takie #emerytury i #renty mają #wojskowi w 2020 roku. Od szeregowego do generała [stawki - 17.09.2020 r.]. #Polska #KoronawirusWPolsce.  https://t.co/0KcPy5DYHn  w usłudze @GoogleNews	pl	[{'screen_name': 'googlenews', 'name': 'google news', 'id': '33584794'}]	['https://pomorska.pl/takie-emerytury-i-renty-maja-wojskowi-w-2020-roku-od-szeregowego-do-generala-stawki-17092020-r/ar/c3-14338419']	[]	0	1	1	['emerytury', 'renty', 'wojskowi', 'polska', 'koronawiruswpolsce']	[]	https://twitter.com/MarekZadecki/status/1306527898824736776	False		0								[]				
1305465256815329280	1305465256815329280	2020-09-14 13:15:46 Central European Summer Time	2020-09-14	13:15:46	+0100	949283462	marekzadecki	Marek Zadęcki		Rząd pilnie szuka kolejnych miliardów. Ważna zmiana w składkach #ZUS już od stycznia 2021? #Polska #KoronawirusWPolsce #podatki #renty #emerytury -  https://t.co/sVMhQXvIMx  https://t.co/VzqhLd2nVQ przez @GoogleNews	pl	[{'screen_name': 'googlenews', 'name': 'google news', 'id': '33584794'}]	['http://Gazeta.pl', 'https://next.gazeta.pl/next/7,151003,26296573,rzad-pilnie-szuka-kolejnych-miliardow-wazna-zmiana-w-skladkach.html']	[]	0	1	1	['zus', 'polska', 'koronawiruswpolsce', 'podatki', 'renty', 'emerytury']	[]	https://twitter.com/MarekZadecki/status/1305465256815329280	False		0								[]				
